home	[]	resource_template	[{template,"home.tpl"}]
page	["page",id]	resource_page	[{template,{cat,"page.tpl"}}]
page	["page",id,slug]	resource_page	[{template,{cat,"page.tpl"}}]
page	["page",id,"in-menu",in_menu]	resource_page	[{template,{cat,"page.tpl"}}]
page	["page",id,"in-menu",in_menu,slug]	resource_page	[{template,{cat,"page.tpl"}}]
page	["page",id,"in-collection",in_collection]	resource_page	[{template,{cat,"page.tpl"}}]
page	["page",id,"in-collection",in_collection,slug]	resource_page	[{template,{cat,"page.tpl"}}]
map	["map",id]	resource_page	[{template,{cat,"map.tpl"}}]
website	["redirect",id,slug]	resource_website_redirect	[]
search	["search"]	resource_template	[{template,"search.tpl"}]
